iter	RMSE
349	3040.744733
350	3038.770862
351	3035.622463
352	3031.850251
353	3027.377582
354	3025.447498
355	3021.716521
356	3021.369437
357	3017.756668
358	3017.416795
359	3016.645051
360	3011.25781
361	3009.378691
362	3006.222805
363	3002.711819
364	3001.93028
365	3000.879767
366	2995.744165
367	2989.481751
368	2988.550867
369	2987.957774
370	2985.276134
371	2984.405686
372	2982.215592
373	2980.217687
374	2977.30082
375	2976.972548
376	2974.870301
377	2970.255312
378	2969.732657
379	2967.062336
380	2962.203904
381	2959.877694
382	2957.679795
383	2957.223182
384	2957.017682
385	2955.430085
386	2952.454261
387	2950.087352
388	2949.377272
389	2944.380543
390	2944.068635
391	2942.535691
392	2941.616783
393	2938.691166
394	2936.063311
395	2934.902607
396	2933.10526
397	2932.786122
398	2930.522239
399	2928.939972
400	2928.471118
401	2926.934916
402	2923.294193
403	2919.986305
404	2915.760151
405	2915.430875
406	2915.171306
407	2911.712489
408	2910.485644
409	2909.57949
410	2909.30341
411	2909.036927
412	2907.486695
413	2906.900819
414	2905.863028
415	2903.477473
416	2902.955232
417	2902.369462
418	2900.692661
419	2896.569223
420	2895.849421
421	2892.131807
422	2889.639959
423	2888.209778
424	2885.944086
425	2884.139558
426	2882.322225
427	2880.003294
428	2877.663524
429	2877.288139
430	2875.552497
431	2874.713131
432	2871.885248
433	2870.431643
434	2867.791859
435	2866.134266
436	2865.947558
437	2863.421333
438	2859.715862
439	2857.611315
440	2855.607991
441	2854.032219
442	2853.570246
443	2851.342056
444	2849.429289
445	2843.589169
446	2841.965988
447	2837.697935
448	2833.728192
449	2833.520181
450	2830.157384
451	2828.787724
452	2825.271392
453	2822.532153
454	2821.703335
455	2821.520063
456	2817.993649
457	2813.415449
458	2811.008373
459	2809.474054
460	2808.82025
461	2805.016795
462	2804.303879
463	2804.119701
464	2801.540765
465	2797.180994
466	2796.855553
467	2796.050813
468	2793.549065
469	2793.35953
470	2791.685398
471	2789.438576
472	2788.294547
473	2787.805052
